Variable ID,Variable name,Variable synonyms,Context of use,Growth stage,Variable status,Variable Xref,Institution,Scientist,Date,Language,Crop
CO_324:0000387,AgApp_E_1to5,AGAPP_1_5,"Trials, Nursery, Farmer group evaluation",Maturity,,BMS_20377,ICRISAT Bamako,Eva Weltzien,2011-11-23 00:00:00,EN,sorghum
CO_324:0000388,EPcleNo_Ct_pclePlot,NEP_pcle,Trials and nurseries,Maturity,,BMS_20403,ICRISAT/IER,Eva Weltzien/Niaba Teme,2011-11-23 00:00:00,EN,sorghum
CO_324:0000392,ETNo_Ct_tllrplnt,ETN_tillers,,,,BMS_20551,,,,EN,sorghum
CO_324:0000393,FP_E_1to3,FP_1_3,Trials and nurseries,Maturity,,BMS_20385,ICRISAT Bamako,Eva Weltzien,2011-11-23 00:00:00,EN,sorghum
CO_324:0000397,GDMC_M_pct,,,,,,CIRAD,JF Rami,,EN,sorghum
CO_324:0000399,GDMYld_C_gPlot,,,,,BMS_20553,CIRAD,JF Rami,,EN,sorghum
CO_324:0000400,GDMYld_C_kgha,,,,,BMS_20591,CIRAD,JF Rami,,EN,sorghum
CO_324:0000403,GHvYld_C_kgha,,,,,,CIRAD,JF Rami,,EN,sorghum
CO_324:0000404,GHvYld_M_gPlot,,,,,BMS_20394,CIRAD,JF Rami,,EN,sorghum
CO_324:0000408,GMoi_C_pct,,,,,,CIRAD,JF Rami,,EN,sorghum
CO_324:0000412,GMoi_M_pct,,,,,,CIRAD,JF Rami,,EN,sorghum
CO_324:0000413,GNo_C_grnm2,GRNO_grn_m2,,Maturity,,BMS_20552,ICRISAT,Jayashree B,,EN,sorghum
CO_324:0000414,GNoPcle_C_grnpcle,NBGPAN_grn_pcle,Trials and nurseries,Maturity,,BMS_20554,CIRAD,JF Rami,08-May-2012,EN,sorghum
CO_324:0000418,GStdYld_C_kgha,,,,,,CIRAD,JF Rami,,EN,sorghum
CO_324:0000422,GStdYld_C_kgplot,,,,,,CIRAD,JF Rami,,EN,sorghum
CO_324:0000424,GW_1000grnM_g,W1000G_g,,Maturity,,BMS_18110,,,,EN,sorghum
CO_324:0000426,GW_100grnM_g,W100G_g,Trials and nurseries,Maturity,,BMS_20564,ICRISAT/IER,Eva Weltzien/Niaba Teme,2011-11-23 00:00:00,EN,sorghum
CO_324:0000427,GWPcle_C_gpcle,GWPP_g,Trials and nurseries,Maturity,,BMS_20393,IER Mali,Niaba Teme,05-Dec-2010,EN,sorghum
CO_324:0000428,GYld_E_1to5,YLDSCORE_1_5,"Trials, Nursery, Farmer group evaluation",Maturity,,BMS_20419,ICRISAT Bamako,Eva Weltzien,2011-11-23 00:00:00,EN,sorghum
CO_324:0000429,HI_C_pct,HI_pct,,Maturity,,BMS_18120,ICRISAT,Jayashree B,,EN,sorghum
CO_324:0000433,LfDMC_M_pct,,,,,,CIRAD,JF Rami,,EN,sorghum
CO_324:0000434,LfDMYld_C_gPlot,LFWT_g,,,,BMS_20597,CIRAD/ICRISAT,JF Rami/Jayashree B,,EN,sorghum
CO_324:0000437,LfDMYld_C_kgha,,,,,,CIRAD,JF Rami,,EN,sorghum
CO_324:0000441,LfHvYld_C_kgha,,,,,,CIRAD,JF Rami,,EN,sorghum
CO_324:0000445,LfHvYld_M_gPlot,,,,,,CIRAD,JF Rami,,EN,sorghum
CO_324:0000449,LfMoi_C_pct,,,,,,CIRAD,JF Rami,,EN,sorghum
CO_324:0000453,LfMoi_M_pct,,,,,,CIRAD,JF Rami,,EN,sorghum
CO_324:0000454,LodgInc_E_1to5,LODG_1_5,Trials and nurseries,Flowering and Maturity,,BMS_20601,INERA,Clarisse Barot,30-Aug-2012,EN,sorghum
CO_324:0000455,MS_E_1to3,MS_1_3,Trials and nurseries,Flowering,,BMS_20400,ICRISAT Bamako,Eva Weltzien,2011-11-23 00:00:00,EN,sorghum
CO_324:0000456,NHH_Ct_hill,NHH_hills,Trials and nurseries,Maturity,,BMS_20404,ICRISAT/IER,Eva Weltzien/Niaba Teme,2011-11-23 00:00:00,EN,sorghum
CO_324:0000457,NSelPcle_Ct_pcle,NSP_pcle,Nursery,Maturity,,BMS_20407,ICRISAT Bamako,Eva Weltzien,2011-11-23 00:00:00,EN,sorghum
CO_324:0000458,NSH_Ct_hill,NSH_plants,Trials and nurseries,Seedling stage,,BMS_20406,ICRISAT/IER,Eva Weltzien/Niaba Teme,2011-11-23 00:00:00,EN,sorghum
CO_324:0000462,PcleDMC_M_pct,,,,,,CIRAD,JF Rami,,EN,sorghum
CO_324:0000465,PcleDMYld_C_gPlot,,,,,,CIRAD,JF Rami,,EN,sorghum
CO_324:0000466,PcleDMYld_C_kgha,,,,,BMS_20615,CIRAD,JF Rami,,EN,sorghum
CO_324:0000467,PcleHI_C_pct,PHI_pct,,Maturity,,BMS_20556,ICRISAT,Jayashree B,,EN,sorghum
CO_324:0000468,PcleHvNo_Ct_pclePlot,NHP_pcle,Trials and nurseries,Maturity,,BMS_20550,ICRISAT/IER,Eva Weltzien/Niaba Teme,2011-11-23 00:00:00,EN,sorghum
CO_324:0000471,PcleHvYld_C_kgha,,,,,,CIRAD,JF Rami,,EN,sorghum
CO_324:0000472,PcleHvYld_M_gPlot,,,,,BMS_20414,ICRISAT/IER/CIRAD,Eva Weltzien/Niaba Teme/JF Rami,,EN,sorghum
CO_324:0000476,PcleMoi_C_pct,,,,,,CIRAD,JF Rami,,EN,sorghum
CO_324:0000480,PcleMoi_M_pct,,,,,,CIRAD,JF Rami,,EN,sorghum
CO_324:0000481,PcleNo_Ct_pclePlot,NBPN_pcle,,Maturity,,BMS_20604,ICRISAT,Jayashree B,,EN,sorghum
